date,type,category,index
2023-10-01,output,dessert_pears,107.04443953773163
2023-10-01,output,strawberries,108.82945918612756
2023-10-01,output,raspberries,142.63328503210698
2023-10-01,output,flowers_and_plants,110.5460833623255
2023-10-01,output,other_crop_products,99.99999999644285
2023-10-01,output,animals_and_animal_products,127.94772395305328
2023-10-01,output,animals_for_slaughter_export,124.50540365066739
2023-10-01,output,cattle_and_calves,131.70984153154333
2023-10-01,output,cattle_clean,133.5527133100175
2023-10-01,output,cows_and_bulls,126.08960036662089
2023-10-01,output,calves,96.57896301930047
2023-10-01,output,pigs,137.35690479621508
2023-10-01,output,pigs_clean,136.55140256660044
2023-10-01,output,sows_and_boars,178.35093742584806
2023-10-01,output,sheep_and_lambs,117.22415967347514
2023-10-01,output,sheep_and_lambs_clean,118.4957272275811
2023-10-01,output,ewes_and_rams,101.60110636476585
2023-10-01,output,all_poultry,114.83710540918983
2023-10-01,output,chickens,118.16336607934939
2023-10-01,output,turkeys,100
2023-10-01,output,animal_products,134.78163116260612
2023-10-01,output,milk,129.64223662731175
2023-10-01,output,eggs,168.24015544766183
2023-10-01,output,intensive_eggs,169.6475136366617
2023-10-01,output,free_range_eggs,167.61918998107788
2023-10-01,output,wool_clip,169.0322580645161
2023-10-01,input,all_agricultural_inputs,130.14439930302487
2023-10-01,input,all_goods_and_services_currently_consumed_in_agriculture,130.97126533093856
2023-10-01,input,seeds_input,104.96840434753608
2023-10-01,input,energy_and_lubricants,164.52401843973743
2023-10-01,input,electricity,162.1204049014385
2023-10-01,input,fuels_for_heating,172.75716298731797
2023-10-01,input,motor_fuels,164.30067972299074
2023-10-01,input,fertilisers_and_soil_improvers,160.35104279160055
2023-10-01,input,straight_fertilisers,160.8509258598579
2023-10-01,input,straight_fertilisers_nitrogenous,159.24784184210105
2023-10-01,input,straight_fertilisers_phosphatic,172.37500081284423
2023-10-01,input,straight_fertilisers_potassic,169.51501307863424
2023-10-01,input,compound_fertilisers,171.81216695232175
2023-10-01,input,other_fertilisers_and_soil_improvers,115.21377851639218
2023-10-01,input,plant_protection_products,128.41253204440162
2023-10-01,input,fungicides,111.59841288368106
2023-10-01,input,insecticides,111.2249738793296
